airport,name,freq,category,subcategory,mode,region,tags,memo,lat,lon
RJTT,東京GND02(T3),121.625,AIR,GND,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京GND03(T1),121.7,AIR,GND,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京GND04(RWY-D),121.975,AIR,GND,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京GND05(貨物・特別),122.075,AIR,GND,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ANA/APJ/IBX/OCR01,129.1,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ANA/APJ/IBX/OCR02,129.7,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ANA/APJ/IBX/OCR03,129.85,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ANA/APJ/IBX/OCR04,131.025,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,JAL/JTA/JAR/TZP,130.1,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,SFJ,128.975,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,SNJ,129.275,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ADO/SKY,123.675,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,日本空港無線サービス,132.075,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,Japan Biz Aviation,131,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,海上保安庁01,130.3,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,海上保安庁02,134.5,AIR,Company,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ANA01,149.53,AIR,地上,FM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ANA02,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,JAL01,372.45,AIR,地上,FM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,JAL02,"3B,3R",AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ANAスカイビルサービス,"3B,3R",AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,空港振興・環境整備支援機構,"3B,3R",AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,航空局,153.45,AIR,地上,FM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,インターナショナルエクスプレス,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ANAエアロサプライシステム,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
