name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
RDO,118.0500,MYE/RJTQ,AIR,RDO,AM,三宅,"MYE,RJTQ,三宅島,東京,関東",,34.0736,139.5602
東京CON01,125.9000,MYE/RJTQ,AIR,CON,AM,三宅,"MYE,RJTQ,三宅島,東京,関東",,34.0736,139.5602
東京CON02,134.1500,MYE/RJTQ,AIR,CON,AM,三宅,"MYE,RJTQ,三宅島,東京,関東",,34.0736,139.5602
東京CON03,318.2000,MYE/RJTQ,AIR,CON,AM,三宅,"MYE,RJTQ,三宅島,東京,関東",,34.0736,139.5602
東京CON04,227.3000,MYE/RJTQ,AIR,CON,AM,三宅,"MYE,RJTQ,三宅島,東京,関東",,34.0736,139.5602
新中央航空,129.3000,MYE/RJTQ,AIR,company,AM,三宅,"MYE,RJTQ,三宅島,東京,関東",,34.0736,139.5602
東邦航空,129.2500,MYE/RJTQ,AIR,company,AM,三宅,"MYE,RJTQ,三宅島,東京,関東",,34.0736,139.5602
